"timeStamp","lastScraped","posterID","name","postID","subjectText","commentText"
"08/07/18(Tue)12:19:56","2018-08-07 10:27:23.917387","No ID","Anonymous","102127267","Essential Christkino","No Comment Text Provided"
"08/07/18(Tue)00:37:33","2018-08-07 10:27:24.259646","No ID","Anonymous","102108760","No Subject Text Provided","RLM&#039;s commentary promo video got reinstated, but RLM deleted it themselves because they&#039;re afraid of getting a strike.<br><br>How big of a problem is &quot;arbitrary strike&quot; at YouTube?"
"08/07/18(Tue)12:05:06","2018-08-07 10:27:37.749086","No ID","Anonymous","102126836","Metal Gear Solid Director Teases His Vision for the &quot;First Great Video Game Movie&quot;","https://www.youtube.com/watch?v=2pe<wbr>CZUTgD7Y&amp;feature=youtu.be"
"08/07/18(Tue)09:30:28","2018-08-07 10:27:43.116824","No ID","Anonymous","102122302","No Subject Text Provided","<span class=""quote"">&gt;so when somebody tells me to “stop being so sensitive”</span><br><span class=""quote"">&gt;I feel a little bit like a nose</span><br><span class=""quote"">&gt;being lectured by a fart</span>"
"08/07/18(Tue)08:38:36","2018-08-07 10:28:04.728304","No ID","Anonymous","102121144","/trek/","Space-Googling Dead Cardies Edition"
"08/07/18(Tue)12:13:31","2018-08-07 10:28:42.415138","No ID","Anonymous","102127087","No Subject Text Provided","SELENA! NO!"
"08/07/18(Tue)05:55:22","2018-08-07 10:28:42.681006","No ID","Anonymous","102117189","No Subject Text Provided","Films you only watch because the actress makes you diamonds."
"08/07/18(Tue)11:53:26","2018-08-07 10:28:58.774978","No ID","Anonymous","102126476","No Subject Text Provided","How was this rape? Littlefinger gave her the option to marry Ramsay and she consented. When Ramsay asks her to remove her clothes she obeys without protesting."
"08/07/18(Tue)07:16:29","2018-08-07 10:28:59.197764","No ID","Anonymous","102119086","Ocean animals","How come there aren&#039;t more movies about whales?"
"08/07/18(Tue)12:20:58","2018-08-07 10:29:08.659869","No ID","Anonymous","102127290","The Soyminator","How does /pol/ feel about the new Terminator movie?<br><br>So diverse! So brave!<br><br>A spic walmart employee, an androgynous LGBT-1000 and a wine aunt."
"08/07/18(Tue)02:10:15","2018-08-07 10:29:11.679940","No ID","Anonymous","102112028","No Subject Text Provided","Anyone else shocked he pranked another republican and never a liberal of whom the majority would be easy to prank? I&#039;m shocked. Must be a coincidence. <br><br>He&#039;s still /our guy/."
"08/07/18(Tue)11:54:13","2018-08-07 10:29:56.742628","No ID","Anonymous","102126503","No Subject Text Provided","Who was in the wrong here?"
"08/07/18(Tue)12:18:15","2018-08-07 10:29:57.779693","No ID","Anonymous","102127215","Comfy LOTR thread","Are these the final days of LOTR trilogy threads without being sullied by the inevitably shit Amazon series that&#039;s coming out?"
"08/07/18(Tue)05:49:15","2018-08-07 10:29:59.999580","No ID","Anonymous","102117065","But where&#039;s the proof?","Give me as hard as evidence as you can that she willingly fucked her way to the top. <br><br>Or is it all just bro-science?<br><br>I refuse to accept that Hollywood runs this way. It just can&#039;t be true.."
"08/07/18(Tue)08:33:54","2018-08-07 10:30:05.006225","No ID","Anonymous","102121020","No Subject Text Provided","BUT HOW CAN HE SNAP!? HOW CAN HE DO IT!?"
